type,stop_name,stop_lat,stop_lon,route_desc,route_type
Train,"Circular Quay Station, Platform 1",-33.86135066,151.2102946,Intercity Trains Network,2
Train,"Circular Quay Station, Platform 1",-33.86135066,151.2102946,Sydney Trains Network,2
Train,"Circular Quay Station, Platform 2",-33.86125998,151.2103117,Intercity Trains Network,2
Train,"Circular Quay Station, Platform 2",-33.86125998,151.2103117,Sydney Trains Network,2
Train,"Clarendon Station, Platform 1",-33.60859081,150.7879921,Sydney Trains Network,2
Train,"Clarendon Station, Platform 2",-33.60865513,150.7879518,Sydney Trains Network,2
Train,"Clyde Station, Platform 2",-33.83592886,151.0171352,Sydney Trains Network,2
Train,"Clyde Station, Platform 3",-33.8359936,151.0170842,Sydney Trains Network,2
Train,"Clyde Station, Platform 4",-33.83605869,151.0170225,Sydney Trains Network,2
Train,"Clyde Station, Platform 5",-33.83612378,151.0169608,Sydney Trains Network,2
Train,"Coalcliff Station, Platform 1",-34.24220068,150.9772565,Intercity Trains Network,2
Train,"Coalcliff Station, Platform 2",-34.24227125,150.9773032,Intercity Trains Network,2
Train,"Cockle Creek Station, Platform 1",-32.9427158,151.6237776,Intercity Trains Network,2
Train,"Cockle Creek Station, Platform 2",-32.94263527,151.6237628,Intercity Trains Network,2
Train,"Coledale Station, Platform 1",-34.28946325,150.9432263,Intercity Trains Network,2
Train,"Coledale Station, Platform 2",-34.28951479,150.9433047,Intercity Trains Network,2
Train,"Como Station, Platform 1",-34.00441857,151.0680476,Sydney Trains Network,2
Train,"Como Station, Platform 2",-34.00437072,151.0681318,Sydney Trains Network,2
Train,"Concord West Station, Platform 2",-33.84872885,151.0856945,Sydney Trains Network,2
Train,"Concord West Station, Platform 3",-33.84873279,151.0855759,Sydney Trains Network,2
Train,"Concord West Station, Platform 4",-33.8487353,151.0855004,Sydney Trains Network,2
Train,"Coniston Station, Platform 1",-34.43774496,150.8852192,Intercity Trains Network,2
Train,"Coniston Station, Platform 2",-34.43779687,150.8852868,Intercity Trains Network,2
Train,"Corrimal Station, Platform 1",-34.37552615,150.9049874,Intercity Trains Network,2
Train,"Corrimal Station, Platform 2",-34.375468,150.9051151,Intercity Trains Network,2
Train,"Cowan Station, Platform 1",-33.59344874,151.1718116,Intercity Trains Network,2
Train,"Cowan Station, Platform 2",-33.59345165,151.1717256,Intercity Trains Network,2
Train,"Cringila Station, Platform 1",-34.46717597,150.8783595,Intercity Trains Network,2
Train,"Cringila Station, Platform 2",-34.46711957,150.8784331,Intercity Trains Network,2
Train,"Cronulla Station, Platform 1",-34.05549121,151.1513867,Sydney Trains Network,2
Train,"Cronulla Station, Platform 2",-34.0560647,151.1514796,Sydney Trains Network,2
Train,"Croydon Station, Platform 4",-33.8832313,151.1153757,Sydney Trains Network,2
Train,"Croydon Station, Platform 5",-33.88329608,151.1153248,Sydney Trains Network,2
Train,"Dapto Station, Platform 1",-34.49295011,150.7916729,Intercity Trains Network,2
Train,"Dapto Station, Platform 2",-34.49280804,150.791895,Intercity Trains Network,2
Train,"Dapto Station, Platform 3",-34.49220131,150.7922811,Intercity Trains Network,2
Train,"Denistone Station, Platform 1",-33.79957519,151.0871093,Sydney Trains Network,2
Train,"Denistone Station, Platform 2",-33.79964895,151.0870588,Sydney Trains Network,2
Train,"Denistone Station, Platform 3",-33.79971371,151.087008,Sydney Trains Network,2
Train,"Denistone Station, Platform 4",-33.79977847,151.0869571,Sydney Trains Network,2
Train,"Domestic Airport Station, Platform 1",-33.93360488,151.1808639,Sydney Trains Network,2
Train,"Domestic Airport Station, Platform 2",-33.9336862,151.180857,Sydney Trains Network,2
Train,"Doonside Station, Platform 1",-33.76383275,150.8684673,Sydney Trains Network,2
Train,"Doonside Station, Platform 2",-33.76389506,150.8684917,Sydney Trains Network,2
Train,"Doonside Station, Platform 3",-33.76400237,150.8685181,Sydney Trains Network,2
Train,"Doonside Station, Platform 4",-33.76406502,150.8685317,Sydney Trains Network,2
Train,"Dora Creek Station, Platform 1",-33.08382285,151.5009414,Intercity Trains Network,2
Train,"Dora Creek Station, Platform 2",-33.08380796,151.500855,Intercity Trains Network,2
Train,"Douglas Park Station, Platform 1",-34.18320933,150.7103912,Intercity Trains Network,2
Train,"Douglas Park Station, Platform 2",-34.18329066,150.710384,Intercity Trains Network,2
Train,"Dungog Station, Platform 2",-32.40239154,151.7592721,Intercity Trains Network,2
Train,"East Hills Station, Platform 2",-33.96168724,150.9848524,Sydney Trains Network,2
Train,"East Hills Station, Platform 3",-33.96175711,150.9849205,Sydney Trains Network,2
Train,"East Maitland Station, Platform 1",-32.74485892,151.5874446,Intercity Trains Network,2
Train,"East Maitland Station, Platform 2",-32.74478268,151.5873128,Intercity Trains Network,2
Train,"East Richmond Station, Platform 1",-33.60175118,150.7590673,Sydney Trains Network,2
Train,"Eastwood Station, Platform 1",-33.79014435,151.0823977,Sydney Trains Network,2
Train,"Eastwood Station, Platform 2",-33.79014721,151.0823115,Sydney Trains Network,2
Train,"Eastwood Station, Platform 3",-33.7901425,151.0821818,Sydney Trains Network,2
Train,"Eastwood Station, Platform 4",-33.79014571,151.0820848,Sydney Trains Network,2
Train,"Edgecliff Station, Platform 1",-33.87935388,151.2364897,Intercity Trains Network,2
Train,"Edgecliff Station, Platform 1",-33.87935388,151.2364897,Sydney Trains Network,2
Train,"Edgecliff Station, Platform 2",-33.87928155,151.2364969,Intercity Trains Network,2
Train,"Edgecliff Station, Platform 2",-33.87928155,151.2364969,Sydney Trains Network,2
Train,"Edmondson Park Station, Platform 1",-33.96932737,150.858964,Sydney Trains Network,2
Train,"Edmondson Park Station, Platform 2",-33.96940037,150.8589348,Sydney Trains Network,2
Train,"Emu Plains Station, Platform 1",-33.74567905,150.6714684,Intercity Trains Network,2
