address,price,sold_date,property_type,bedrooms,bathrooms,parking,land_size
"Dual Key/13-15 Hassall Street, Parramatta NSW 2150",629888,11/06/2024,apartment,2,2,1,
"1103B/8 Cowper Street, Parramatta NSW 2150",721000,8/06/2024,apartment,2,2,1,
"1103B/8 Cowper Street, Parramatta NSW 2150",721000,8/06/2024,apartment,2,2,1,
"206/45 Macquarie Street, Parramatta NSW 2150",357000,7/06/2024,apartment,1,1,,
"3505/88 Church Street, Parramatta NSW 2150",900000,6/06/2024,apartment,2,2,1,
"11/95 Great Western Highway, Parramatta NSW 2150",490000,5/06/2024,unit,2,1,1,110 m2
"3005/11 Hassall Street, Parramatta NSW 2150",755000,5/06/2024,apartment,2,2,1,
"3201/1A Morton Street, Parramatta NSW 2150",590000,5/06/2024,apartment,2,2,1,
"1127/45 Macquarie Street, Parramatta NSW 2150",400000,4/06/2024,unit,1,1,,
"707C/3 Broughton Street, Parramatta NSW 2150",630000,4/06/2024,apartment,2,2,1,
"508C/3 Broughton Street, Parramatta NSW 2150",620000,4/06/2024,apartment,2,2,1,
"1905/11 Hassall Street, Parramatta NSW 2150",720000,3/06/2024,apartment,2,2,1,
"1805/11 Hassall Street, Parramatta NSW 2150",720000,3/06/2024,apartment,2,2,1,
"1/21 Sorrell Street, Parramatta NSW 2150",642000,3/06/2024,apartment,2,2,1,
"15/11-15 Dixon Street, Parramatta NSW 2150",575000,3/06/2024,apartment,2,2,2,
"J713/2 Morton Street, Parramatta NSW 2150",690000,2/06/2024,apartment,2,2,1,
"7/33 Macarthur Street, Parramatta NSW 2150",645000,1/06/2024,apartment,2,1,2,
"3007/330 church street, Parramatta NSW 2150",760000,1/06/2024,apartment,2,2,1,
"32/14 Hassall Street, Parramatta NSW 2150",570000,1/06/2024,apartment,2,2,1,
"101/2 River Road West, Parramatta NSW 2150",563000,1/06/2024,apartment,2,2,1,
"8/23 Campbell Street, Parramatta NSW 2150",487000,1/06/2024,apartment,2,1,1,
